Tweet id,Tweets,Sentiments
35,Wuhan fear of famine   stacking https   youtu be iMpeRwHrhw   YouTube arac l   yla   wuhan  wuhanvirus  coronovirus  corono  wuhancoronovirus  newsfromwuhan  wuhanvirus  wuhanchina  CoronaViruesue,Neutral
36, ChinaCoronaVirus  ChinaPneumonia  WuhanPneumonia  WuhanCoronovirus  WuhanOutbreakhttps   twitter com chowtszlok status   ,Neutral
37,Ngeriii  Wabah Virus Corona makin meluas   Coba melihat kondisi kota asa    https   youtu be RawKPzA  via   YouTube  CoronaVirusOutbreak  WuhanCoronovirus  Wuhan,Neutral
38,mereka penjara jt uighur  dan sekarang dengan terpaksa harus karantina jt penduduk mereka sendiri    WuhanCoronovirus pic twitter com IgCajZMPn,Neutral
39,Muslim uighur  punya Allah Ta ala yang senantiasa bersama  punya saudara se iman sedunia yang selalu mendoakan   non muslim cina punya siapa weh   WuhanCoronovirus,Neutral
40,Health experts issued an ominous warning about a coronavirus pandemic  months ago  Their simulation showed it could kill  million people     wuhanoutbreak  WuhanCoronovirus  WuhanPneumonia https   www businessinsider com scientist simulated coronavirus pandemic deaths   utmSource twitter utmContent referral utmTerm topbar referrer twitter   via  businessinsider,Neutral
41,cerita wabah yang suka di ceritakan dalam drakor  kini bener real adanya  bukan drama dokter ganteng yang menyelamatkan  real adanya team medis jg bisa terjangkit    WuhanCoronovirus,Positive
42,Apahal aku mimpi makan kelawar dengan ular ni   sebab  WuhanCoronovirus Aku baca sampak terbawak dalam mimpi pulak aduhai  tolonglah jauhkan  btw selamat pagi ,Neutral
43,Jdi inget train to busan  WuhanCoronovirus,Neutral
44,Waspadalah  Jika ada gejala yang di rasakan  segera konsultasi ke dokter  Dan jangan lupa tetap jaga kesehatan     WuhanCoronovirus pic twitter com iYGoItiJP,Neutral
45,Pada mantengin  Wuhan karena ada  WuhanCoronovirus kalian gak tau kalo ada  virusmers juga di  korea  Gimana ni  apa ia warganya juga harus terjangkit virus mematikan ini  Doctor  wangdojoo kewalahan sampai sepertinya dia juga terjangkit virus tersebut   doctorromanticpic twitter com XzSrvKfr,Neutral
46,Militer cina turun tangan  sekarang sudah kritis  WuhanCoronovirus   Semakin banyak korban https   twitter com airlivenet status   ,Neutral
47, twitterquestion  What is the meaning of IDVI    WuhanCoronovirus  wuhanhttps   twitter com therussophile status  s   ,Neutral
48, WuhanCoronovirus Nga sedikit penelitian mengatakan virus  penyakit  dll banyak terjadi karena makanan yang masuk ke dalam tubuh   Just  Reminder for me   Hai sekalian manusia  makanlah yang  halal lagi baik dari apa  https   www instagram com p BuKxeTH NK  igshid dzmaihsf  ,Neutral
49,Apa iya China menjadi target serangan virus corona  Is it true that China became the target of the corona virus attack   CC  RT com  PressTV  TirtoID  WuhanCoronovirus  coronovirus  coronarovirus https   www infowars com bill and melinda gates foundation others predicted up to  million deaths via coronavirus in simulation ran  months ago   https   twitter com mizibak status   ,Neutral
50,Sekarang medis mereka stress berat  Karena alat medis sudah habis  obat terbatas  team medispun sudah kena virus   Cina mulai blokir video tentang  WuhanCoronovirus https   twitter com  heishan status   ,Neutral
51, Wuhan  WuhanCoronovirus https   twitter com Cat status   ,Neutral
52,CALL TO BAN FLIGHTS FROM CHINA TO AUSTRALIA The PM is under pressure to stop all flights into Australia from China  as Qantas reportedly prepares to send a crew to evacuate  Australians in  WuhanCoronovirus  WuhanChinapic twitter com hWOvqdjJUK,Neutral
53, Wuhan  coronavirus  PANDEMIC BIOENGINEERED  Who s behind it  why now and why  China   WuhanCoronovirus  CoronavirusWho http   stateofthenation co  p  ,Neutral
54,Numbers update  in  China  diagnosed  suspected  deaths  cured   Wuhan  WuhanCoronovirus  WuhanPneumonia  coronavirus                             ,Neutral
55,Insightful piece on   nytopinion  about how Xi s authoritarian governance model enables the global outbreak of  WuhanCoronovirus https   www nytimes com    opinion coronavirus china government html  ,Positive
56,Daily update of the  coronarvirus  Please be safe people  maintain good personal hygiene and stay home if you re sick     stats  WuhanCoronovirus pic twitter com gToWhdd,Positive
57, coronarvirus  WuhanCoronavirusOutbreak  WuhanCoronovirus  Wuhanhttps   twitter com PlumWdhse status   ,Neutral
58,Coronavirus outbreak spreads globally https   cnn it RFTssk   corona  CoronavirusWho  WuhanCoronavirusOutbreak  WuhanCoronovirus  WuhanPneumonia  WuhanChina  China  WuhanLockDown  WuhanOutbreak  FridayThoughts,Positive
59, WuhanCoronovirus  SOSHKhttps   twitter com ezracheungtoto status   ,Neutral
60, airindiain  AI bringing back  indian students from  WuhanChina has entered  india airspace  salute to the brave Crew of Air India  HardeepSPuri  coronarvirus  WuhanCoronovirus  CoronavirusWho https   twitter com robinjindia status   pic twitter com rirqlMgA,Neutral
61,                                                                                                                  WuhanCoronovirus  wuhun,Neutral
62,                          nCoV                                               coronarvirus  WuhanCoronovirus pic twitter com cSMWLovz,Neutral
63,Real Sources   Coverage of the Corona Virus on our page  Follow for updates   WuhanCoronovirus  coronavirus  nCoV  Wuhan  Hubei  Breakinghttps   twitter com gibsfree status   ,Neutral
64,https   www nature com articles d   y    WOHC  WuhanCoronovirus,Positive
65,     A sanitation workers donate wuhan                                    telegram                                                       WuhanCoronovirus https   youtu be b yMNFxDTtA ,Neutral
66,Be safe everyone   WuhanCoronovirus,Positive
67,Wuhan coronavirus death toll rises to  in China with  new fatalities   CNA   WuhanCoronovirus  WuhanOutbreak  WuhanFlu  WuhanFlu  nCoV  coronoavirus  Wuhanhttps   www channelnewsasia com news asia wuhan virus death toll rises china cases   ,Neutral
68,Freeze direct flight between  HongKong and US  please   CCP left an escape route for mainland Chinese to spread  WuhanCoronovirus,Neutral
69,       WuhanCoronovirus  coronaviruschina  HKPolicepic twitter com GYSMLhgVFh,Neutral
70,That man in  Wuhan refused to get on the car  He knew there s no diff between treated in new camp or die at home becoz of  WuhanCoronovirus no one trusts  CCP nowhttps   twitter com jenniferatntd status   ,Neutral
71,                                                                                                                               WuhanCoronovirus pic twitter com GhaGnvx,Neutral
72,Shenzhen  very very close to  HK   HK is in danger  if I have choice I will leave immediately when  CarrieLam still don t close the border  WuhanCoronovirus  HKpic twitter com kedsTXf,Negative
73, HKPoliceTerrorists still arrest citizens with batons and no reasons  at the days the city is fighting against  WuhanCoronovirus https   twitter com ajmm status   ,Neutral
74,It always  CarrieLam   her govt are the root cause to put all  HKers in extreme high risk of  WuhanCoronovirus by not closing the borders urgently  Don t twist the professionalism  Over    HKers support to close all borders   HKers support them to strike https   twitter com hdctx status   ,Neutral
75,      HongKong  HongKongProtests  StandwithHK  WuhanCoronovirus pic twitter com rRWJvsUbfn,Neutral
76,u have no idea what u guy dealing with    a global pandemic out of control by CCP fake propaganda with infected and tolls     Good luck to us all   WuhanCoronovirus,Neutral
77,Still open Shenzhen Bay Port   HKSAR didn t show the figure   HK is in Danger  if I have a choice I will leave  HK immediately  One Country Two System  NO  One  Country One System   WuhanCoronovirus  HKGovpic twitter com NAKAJKrLU,Negative
78,                                                                      ntvnewsze  WuhanCoronovirus  FreeHongKongpic twitter com mZACWWLbSQc,Neutral
79,Brief Summary of Evidence of Lab Made  nCoV    Evidence of Lab Made  nCoV  WuhanCoronovirus https   gnews org   ,Neutral
80, Nebraska  Coronavirus  nCoV  quarantine  WuhanCoronovirus https   twitter com KETVRob status   ,Neutral
81,Masih seputar  Corona   Corona sudah masuk Indonesia   Apakah kamu khawatir    coronaviruschina  WuhanCoronovirus https   www customfeast com   corona sudah masuk indonesia html  ,Neutral
82,So spooky  so masterful  until the very last shot   NYTimes Drone Footage Shows Wuhan Under Lockdown https   nyti ms    WuhanCoronovirus CrPh,Positive
83, WuhanCoronovirus,Neutral
84, chinese government are sending unknown people  police  military  Doctors fully covered to check each building for infected people flat by flat                          WuhanCoronovirus  CoronavirusOutbreak          https   twitter com Kasmr status   ,Neutral
85,Yeah  nothing to worry about right    Wuhan  WuhanCoronovirus https   twitter com htommy status   ,Negative
86,                                                                                                                            WuhanCoronovirus pic twitter com GGoZfNqs,Neutral
87, coronoavirus  WuhanCoronovirus  CoronaOutbreakhttps   twitter com BNODesk status   ,Neutral
88,                                                                       coronavirus  WuhanCoronovirus  CoronavirusOutbreakhttps   twitter com MrVop status   ,Neutral
89,                             BREAKING                                                          coronavirus  WuhanCoronovirus  CoronavirusOutbreakhttps   twitter com AFP status   ,Neutral
90,                                    DM                  We sell masks from Korea    Which is also used in Korean pharmacy   Oversea delivery is also possible  If you are interested please DM us   mask  wuhan  WuhanVirus  WuhanCoronovirus pic twitter com WsVdlgUm,Positive
91,                             Update                                                                                                                                coronavirus  WuhanCoronovirus  CoronavirusOutbreakhttps   twitter com CGTNOfficial status   ,Neutral
92, CoronaOutbreak  Coronovirus  WuhanCoronovirus       new cases in Jiangxi province  China ,Neutral
93,Goed achtergrondverhaal van   SanderVoormolen  over het  WuhanCoronovirus bij  nrcvandaaghttps   podcasts apple com nl podcast nrc vandaag id l en i   ,Neutral
94,Coronavirus live  Death toll climbs number of infections spreading aroun    https   youtu be BArEAdiYpc  via  YouTube  coronaravirus  WuhanCoronovirus  coronaviruswuhan  CoronavirusUpdatepic twitter com BoJDYjF,Neutral
95,Looks like  coronaextrausa  has their jlawyers all over the  BreakingNews re  their involvement in the  WuhanCoronovirus  BioWeapon outbreak  Thank God we all have the cure under our sinks   CloroxPanacea  Wuhantruth  samtripoli  ShivaForSenatehttps   www fatherly com news corona beer virus coronavirus google searches   ,Neutral
96, CantMakeItUp  WuhanCoronovirus  nCoV   exact same strain was listed in these countries was right here in the US as well as other countries since Before Dec      See pinned tweet and comments  The CDC has updated since   yesterday  Here s a SS   coronaraviruspic twitter com dBClDAwYhO,Positive
97,Coronavirus live  Death toll climbs number of infections spreading aroun    https   youtu be BArEAdiYpc  via  WuhanCoronovirus  Wuhanpnemonia  CoronaVirusFacts  CoronavirusUpdatepic twitter com PzTvoXDnK,Neutral
98, WuhanCoronovirus https   twitter com IamMsFF status   ,Neutral
99, THY Acaba bu g revli arkada lardan  in li olduklar n    rendi im yolcular i in  nlem al nd  m     coronaravirus  Coronovirus  WuhanCoronovirus  trabzon   stanbulpic twitter com qrhszpVfM   at  stanbul Havaliman   IST ,Neutral
